Laptop Model,Processor Type,Generation,RAM,Storage,Graphics,Display Size(Inch),Price
Apple MacBook Pro (Late 2023) Apple M3 Pro 18 ...,Apple M3,Not Applicable,18GB,512GB SSD,Shared,14.2,"Tk 285,000 (Estimated)"
Apple MacBook Pro (Late 2023) Apple M3 8GB RA ...,Apple M3,Not Applicable,8GB,1TB SSD,Shared,14.2,"Tk 258,000"
Apple MacBook Pro (Late 2023) Apple M3 8GB RA ...,Apple M3,Not Applicable,8GB,512GB SSD,Shared,14.2,"Tk 228,000"
Apple MacBook Pro (Late 2023) Apple M3 8GB RA ...,Apple M3,Not Applicable,8GB,512GB SSD,Shared,14.2,"Tk 225,000"
Apple Macbook Pro (Late 2023) Apple M3 Max 48 ...,Apple M3,Not Applicable,48GB,1TB SSD,Shared,16.2,"Tk 540,000 (Estimated)"
Apple Macbook Pro (Late 2023) Apple M3 Max 48 ...,Apple M3,Not Applicable,48GB,1TB SSD,Shared,16.2,"Tk 538,000 (Estimated)"
Apple Macbook Pro (Late 2023) Apple M3 Max 36 ...,Apple M3,Not Applicable,36GB,1TB SSD,Shared,16.2,"Tk 460,000 (Estimated)"
Apple Macbook Pro (Late 2023) Apple M3 Max 36 ...,Apple M3,Not Applicable,36GB,512GB SSD,Shared,16.2,"Tk 445,000 (Estimated)"
Apple Macbook Pro (Late 2023) Apple M3 Pro 36 ...,Apple M3,Not Applicable,36GB,1TB SSD,Shared,16.2,"Tk 415,000 (Estimated)"
Apple Macbook Pro (Late 2023) Apple M3 Pro 36 ...,Apple M3,Not Applicable,36GB,1TB SSD,Shared,16.2,"Tk 450,000 (Estimated)"
Apple Macbook Pro (Late 2023) Apple M3 Pro 36 ...,Apple M3,Not Applicable,36GB,512GB SSD,Shared,16.2,"Tk 445,000 (Estimated)"
Apple Macbook Pro (Late 2023) Apple M3 Pro 36 ...,Apple M3,Not Applicable,36GB,512GB SSD,Shared,16.2,"Tk 399,000 (Estimated)"
Apple Macbook Pro (Late 2023) Apple M3 Pro 18 ...,Apple M3,Not Applicable,18GB,512GB SSD,Shared,16.2,"Tk 380,000 (Estimated)"
